,lead
0,7-3677
1,1-9391
2,4-4126
3,5-4152
4,6-2957
5,1-9410
6,6-2253
7,1-6706
8,6-7709
9,4-6522
10,8-3553
11,7-7486
12,4-0524
13,6-6858
14,8-9161
15,8-5353
16,8-2949
17,7-7328
18,7-0728
19,8-4046
20,5-5948
21,4-0263
22,7-8681
23,5-7166
24,4-8950
25,2-5846
26,8-9699
27,7-4997
28,8-3999
29,7-1428
30,5-2253
31,7-8523
32,5-2152
33,3-0631
34,5-1967
35,4-9337
36,5-9133
37,5-3006
38,6-3205
39,7-2053
40,6-7301
41,3-8415
42,5-0983
43,8-1752
44,2-8192
45,4-6103
46,6-4322
47,5-3784
48,2-8031
49,3-9651
50,7-5101
51,8-7221
52,4-0197
53,8-0184
54,7-5444
55,7-3791
56,5-4634
57,2-2830
58,7-2791
59,7-7785
60,7-1536
61,3-7720
62,4-6164
63,2-1187
64,3-4508
65,7-8295
66,4-1005
67,6-3410
68,5-0876
69,5-2235
70,2-4744
71,6-3181
72,6-8915
73,1-4794
74,8-3968
75,4-4793
76,6-5544
77,3-2085
78,4-2251
79,5-3908
80,2-6213
81,7-1964
82,6-6993
83,5-1043
84,8-0400
85,8-8550
86,4-2827
87,4-3536
88,7-6894
89,2-9298
90,3-7009
91,1-7854
92,1-0120
93,3-7620
94,5-8269
95,4-2716
96,8-7476
97,8-7605
98,4-6431
99,2-5097
100,7-7030
101,8-0932
102,7-5040
103,5-6483
104,7-2003
105,6-8284
106,3-1571
107,5-0603
108,5-3532
109,2-2381
110,7-1876
111,1-7045
112,3-3796
113,1-5369
114,2-4829
115,5-5357
116,7-9178
117,7-9165
118,3-6860
119,8-4686
120,6-3270
121,7-7281
122,2-4775
123,5-9307
124,1-0722
125,3-6493
126,8-7631
127,5-5649
128,5-0927
129,2-6723
130,6-0287
131,6-3724
132,6-0625
133,1-8074
134,8-3678
135,7-7422
136,7-0139
137,2-5677
138,4-0926
139,1-6615
140,5-2510
141,3-3260
142,2-3957
143,5-0898
144,6-1086
145,1-2694
146,5-5134
147,2-4438
148,3-0829
149,1-8212
150,5-4101
151,3-6201
152,8-0977
153,3-1439
154,8-1178
155,4-0342
156,7-4842
157,5-5567
158,8-8070
159,7-7392
160,4-7451
161,4-6980
162,2-4367
163,4-3165
164,5-3259
165,1-1239
166,5-5689
167,1-4652
168,7-8180
169,3-1352
170,8-9118
171,3-9768
172,6-1725
173,6-4459
174,3-6605
175,7-4618
176,4-1504
177,4-3595
178,4-7686
179,2-0181
180,1-9975
181,3-5417
182,3-4156
183,8-9498
184,4-1295
185,7-3015
186,4-8663
187,1-9894
188,7-4717
189,3-6056
190,3-0261
191,5-8636
192,6-9918
193,2-5400
194,1-2120
195,5-6488
196,4-5022
197,3-3250
198,4-7696
199,2-8247
200,3-4687
201,8-6443
202,1-5424
203,3-7140
204,4-8661
205,7-5223
206,5-2877
207,5-9627
208,8-4486
209,8-0986
210,7-6460
211,6-8049
212,6-1160
213,6-4033
214,4-1136
215,7-5331
216,1-8463
217,2-2989
218,3-9901
219,6-1322
220,6-6985
221,8-9419
222,5-2185
223,4-1978
224,4-2281
225,1-9208
226,6-0127
227,7-5012
228,2-7269
229,6-0842
230,2-6422
231,6-5644
232,7-5119
233,7-9531
234,7-6961
235,8-9402
236,7-4291
237,8-1236
238,2-7347
239,4-1175
240,6-2109
241,6-4961
242,4-6915
243,4-5243
244,3-2287
245,7-6339
246,7-1799
247,1-1809
248,8-6587
249,1-1201
250,4-0786
251,6-3618
252,2-7445
253,8-4866
254,2-4942
255,6-0138
256,2-5385
257,8-5208
258,8-4464
259,5-8915
260,7-0550
261,7-9468
262,1-2256
263,4-8603
264,1-1740
265,4-2574
266,7-0263
267,7-3041
268,2-2402
269,7-8499
270,4-0766
271,3-0913
272,6-5162
273,7-6857
274,3-3293
275,3-8886
276,8-4858
277,1-4643
278,2-2465
279,6-9281
280,2-5589
281,7-6534
282,3-4736
283,3-8197
284,2-9200
285,3-3065
286,2-4047
287,1-9078
288,6-2821
289,6-9624
290,2-1681
291,1-1454
292,7-9270
293,2-8601
294,7-6843
295,1-9332
296,4-5658
297,8-2818
298,5-1197
299,4-9749
300,5-6320
301,3-9551
302,6-3497
303,7-8116
304,6-5663
305,6-9824
306,5-6088
307,8-3763
308,1-2977
309,7-5227
310,6-1397
311,4-6132
312,5-6180
313,7-1401
314,4-1696
315,1-1458
316,8-5088
317,6-0065
318,5-8994
319,7-7587
320,5-0058
321,2-0984
322,5-3083
323,7-3290
324,8-3102
325,4-0821
326,5-7502
327,6-8391
328,7-9759
329,7-1480
330,8-7233
331,8-9528
332,5-8540
333,5-6717
334,4-4329
335,5-9959
336,8-6106
337,3-2798
338,1-8693
339,8-1290
340,3-6174
341,3-1121
342,5-3859
343,7-2535
344,2-4765
345,3-1565
346,6-2000
347,3-6843
348,4-7790
349,3-6800
350,7-8008
351,5-4474
352,8-3669
353,7-6689
354,8-2876
355,5-5512
356,3-0142
357,8-4074
358,4-9810
359,1-6836
360,4-4273
361,5-0751
362,8-1707
363,3-2622
364,5-6933
365,2-6230
366,8-4478
367,4-8875
368,8-9291
369,6-6799
370,1-9070
371,1-7546
372,7-3854
373,6-4937
374,8-0987
375,8-8492
376,6-3953
377,1-0323
378,7-1990
379,5-0346
380,6-8032
381,8-0300
382,3-7230
383,5-6053
384,7-6308
385,3-0104
386,3-5478
387,1-2563
388,7-0869
389,5-1247
390,4-7309
391,7-9361
392,3-2670
393,8-0740
394,5-6845
395,8-9790
396,8-4137
397,4-4293
398,2-1019
399,2-5784
400,7-0551
401,4-4363
402,4-7559
403,1-5484
404,6-1727
405,3-9231
406,8-2009
407,2-4893
408,7-6733
409,7-7694
410,1-7644
411,8-1345
412,7-6040
413,7-8630
414,5-9492
415,7-7973
416,4-8419
417,4-6320
418,5-3549
419,8-2074
420,4-5421
421,3-9554
422,1-6171
423,7-4147
424,1-5837
425,5-6948
426,2-9715
427,3-4683
428,3-8980
429,6-0870
430,3-9374
431,6-2665
432,6-6027
433,8-8348
434,8-4172
435,8-7811
436,6-6523
437,1-0063
438,1-7706
439,1-7052
440,8-5499
441,4-3609
442,8-6680
443,6-5501
444,4-1239
445,2-6425
446,4-8502
447,1-8606
448,2-7667
449,7-9932
450,1-4069
451,5-8991
452,2-9165
453,8-1788
454,1-3075
455,8-8314
456,3-9765
457,8-1478
458,8-6341
459,6-9451
460,5-1521
461,6-8161
462,5-1637
463,7-9978
464,4-3271
465,8-7676
466,5-7191
467,6-4178
468,1-5786
469,8-8431
470,8-4995
471,7-0600
472,2-5523
473,3-2627
474,6-9199
475,1-9906
476,4-7361
477,7-4946
478,6-6207
479,8-4314
480,6-1099
481,3-6133
482,3-9113
483,1-8229
484,3-8215
485,6-0787
486,1-9731
487,6-6488
488,4-9933
489,3-5616
490,5-7512
491,5-9523
492,4-0708
493,7-4384
494,7-2816
495,6-3779
496,6-2279
497,6-9857
498,4-1229
499,8-1287
500,7-5513
501,1-8224
502,6-8111
503,5-5913
504,8-9796
505,3-7580
506,4-6362
507,3-7555
508,4-8359
509,8-7595
510,6-6298
511,1-3593
512,8-0534
513,1-5912
514,1-6461
515,3-4415
516,3-0531
517,8-2874
518,1-0324
519,6-1197
520,8-6357
521,3-8558
522,2-1533
523,6-3792
524,7-7835
525,2-1855
526,2-4394
527,1-1937
528,8-3337
529,7-6880
530,6-3755
531,7-8302
532,6-3898
533,8-6781
534,4-7318
535,2-9480
536,4-7695
537,4-7818
538,7-5009
539,2-0322
540,1-9842
541,8-6523
542,4-7691
543,3-3262
544,2-1921
545,6-2334
546,2-1467
547,3-3224
548,4-7343
549,1-7859
550,1-9362
551,7-4872
552,5-8629
553,5-9123
554,5-7855
555,8-8488
556,1-5625
557,3-5727
558,5-8632
559,7-7985
560,2-4390
561,7-8980
562,8-9180
563,1-2281
564,5-4900
565,4-3212
566,1-8618
567,6-7656
568,7-1321
569,7-0072
570,1-4763
571,4-8246
572,6-8321
573,6-3264
574,1-7029
575,4-9968
576,5-9782
577,1-4539
578,5-4271
579,4-2465
580,7-7317
581,4-8496
582,3-4725
583,2-6514
584,4-3289
585,6-3857
586,6-7011
587,4-7871
588,1-8573
589,1-0895
590,3-4877
591,8-8540
592,3-9918
593,7-4736
594,4-5741
595,2-6724
596,3-8964
597,6-8870
598,1-8100
599,8-8395
600,2-1195
601,7-6563
602,4-4666
603,4-1393
604,6-0401
605,4-5908
606,6-1225
607,7-9234
608,1-3171
609,3-8264
610,3-3099
611,7-0784
612,5-4755
613,2-7309
614,8-6447
615,1-0731
616,7-6601
