,lead
0,1-1704
1,7-7352
2,7-2665
3,3-8554
4,5-3583
5,1-2619
6,4-0766
7,6-6618
8,5-5930
9,2-3338
10,5-3183
11,3-8373
12,1-0256
13,3-1018
14,8-5488
15,2-6069
16,7-2472
17,7-4071
18,2-3399
19,5-0622
20,2-8510
21,2-7250
22,6-9712
23,7-9915
24,5-9392
25,3-6692
26,8-5288
27,2-5789
28,4-8357
29,4-6936
30,4-3169
31,5-8198
32,4-2938
33,7-0689
34,4-4920
35,2-5753
36,7-0893
37,6-3540
38,4-5578
39,7-9365
40,6-1974
41,8-1771
42,2-6800
43,3-3880
44,8-7455
45,4-9251
46,6-4962
47,3-1149
48,4-3257
49,3-4817
50,3-2243
51,2-5210
52,3-5521
53,6-7654
54,5-3753
55,7-5225
56,7-8434
57,4-5242
58,4-8538
59,7-4972
60,5-7414
61,7-6281
62,8-7505
63,2-4266
64,2-7558
65,8-1552
66,8-2535
67,1-8875
68,1-6697
69,6-7806
70,8-0427
71,3-8336
72,6-7907
73,3-5587
74,1-1597
75,1-2996
76,3-9503
77,4-4498
78,2-7681
79,1-5906
80,4-1356
81,1-6004
82,8-9494
83,8-5819
84,7-0215
85,4-1157
86,5-0074
87,1-8251
88,6-6835
89,8-6377
90,7-1777
91,5-0258
92,1-0502
93,3-3884
94,1-2631
95,2-0730
96,2-6375
97,4-0484
98,8-4789
99,6-0578
100,8-7147
101,6-3930
102,5-9901
103,8-7678
104,5-8434
105,1-9298
106,3-3080
107,7-4378
108,4-5791
109,5-3879
110,6-1235
111,4-1776
112,4-5280
113,8-5108
114,4-2706
115,1-4232
116,2-3406
117,8-8756
118,1-4984
119,7-1511
120,6-9762
121,4-6760
122,7-1972
123,2-7182
124,8-3687
125,7-5237
126,2-8654
127,8-1111
128,6-3050
129,2-6915
130,2-9598
131,8-5122
132,4-3088
133,1-9970
134,4-3751
135,5-7983
136,1-8921
137,5-8572
138,5-9007
139,4-7531
140,7-1485
141,5-9511
142,4-1169
143,8-2051
144,2-5287
145,2-8403
146,6-5053
147,2-0225
148,3-5200
149,2-6608
150,1-4852
151,4-0314
152,2-3136
153,2-5883
154,5-6492
155,3-0866
156,2-4848
157,3-1389
158,2-7305
159,7-9806
160,3-0750
161,7-1504
162,3-8661
163,2-9603
164,3-4180
165,4-6176
166,6-3140
167,1-2422
168,8-2940
169,7-8637
170,7-0608
171,1-1530
172,1-0965
173,2-3513
174,6-5269
175,2-0405
176,8-9375
177,4-6674
178,6-9151
179,5-6700
180,2-0304
181,5-7445
182,4-8669
183,8-0703
184,7-6069
185,8-6857
186,1-8864
187,5-1455
188,2-1899
189,5-7358
190,2-7743
191,5-3045
192,8-0934
193,2-7139
194,8-4602
195,3-1713
196,3-2020
197,8-4370
198,4-1282
199,5-9588
200,3-0602
201,3-0099
202,2-3805
203,1-3163
204,2-7692
205,6-2090
206,4-6704
207,5-3550
208,6-5264
209,8-5746
210,4-1345
211,1-7358
212,4-2959
213,5-4012
214,2-6459
215,3-7259
216,1-2579
217,1-2405
218,5-3195
219,5-7392
220,2-1086
221,1-4902
222,5-8864
223,7-1024
224,7-5982
225,5-5877
226,5-7357
227,4-1127
228,4-5705
229,2-6101
230,6-0105
231,7-1855
232,7-3647
233,4-2953
234,3-8286
235,1-6955
236,6-1264
237,2-8617
238,1-1796
239,7-4847
240,8-9146
241,6-6344
242,4-3912
243,2-7218
244,8-6032
245,8-6019
246,7-2404
247,8-8394
248,5-0103
249,6-1309
250,5-3861
251,6-0740
252,7-4825
253,4-6014
254,7-4735
255,2-6371
256,2-9731
257,2-7125
258,1-1257
259,7-0954
260,5-4327
261,6-2321
262,2-3356
263,7-8574
264,3-8573
265,6-8215
266,1-3670
267,1-5593
268,8-3551
269,5-1154
270,4-9920
271,3-2553
272,6-0004
273,5-2280
274,8-8310
275,4-8165
276,1-7531
277,1-5423
278,1-9306
279,5-8450
280,5-0505
281,6-7356
282,1-3058
283,7-1984
284,8-1421
285,4-1384
286,1-9105
287,2-7833
288,1-4342
289,5-7817
290,6-0828
291,3-2944
292,7-7249
293,4-8048
294,4-7682
295,2-8867
296,3-6178
297,7-2650
298,2-5203
299,5-5503
300,7-7088
301,1-8663
302,5-9422
303,2-2938
304,2-5618
305,1-7894
306,1-2575
307,4-8314
308,6-3915
309,5-0148
310,1-1007
311,4-1266
312,3-2208
313,3-2197
314,3-0033
315,7-2779
316,1-7023
317,7-1014
318,4-1107
319,6-9567
320,7-6226
321,5-3122
322,6-9366
323,7-2202
324,2-6057
325,3-1771
326,4-5130
327,5-3019
328,4-7272
329,3-7474
330,4-7645
331,7-0986
332,6-2796
333,7-9098
334,8-6249
335,5-0928
336,6-4839
337,1-0693
338,3-5046
339,8-1607
340,1-9950
341,7-5682
342,7-7932
343,8-6760
344,4-3179
345,7-3617
346,5-9190
347,2-5483
348,8-0259
349,6-0035
350,8-3324
351,7-7535
352,2-9700
353,6-2485
354,6-8981
355,4-4925
356,8-0671
357,2-5928
358,8-4111
359,4-6794
360,8-2935
361,1-9326
362,5-1434
363,2-7637
364,2-6930
365,6-4935
366,1-3277
367,8-9490
368,8-1076
369,3-5950
370,3-9291
371,7-7625
372,6-8939
373,4-0261
374,1-2676
375,7-0383
376,1-4994
377,5-7725
378,4-4032
379,3-5716
380,3-2163
381,2-9031
382,8-2318
383,2-9287
384,8-0903
385,8-4992
386,1-5365
387,3-5086
388,6-6910
389,4-6056
390,4-9956
391,6-6777
392,4-2549
393,6-3529
394,5-1329
395,6-5403
396,5-3115
397,7-2142
398,1-0752
399,2-2905
400,4-3728
401,1-7507
402,7-0086
403,2-2503
404,2-0411
405,1-6279
406,2-7868
407,7-4799
408,3-5676
409,1-0405
410,8-8467
411,3-3246
412,2-0817
413,5-6265
414,6-2790
415,1-6413
416,2-6595
417,8-9196
418,1-2764
419,5-0384
420,1-4024
421,1-0152
422,7-0820
423,6-7705
424,5-6557
425,4-8409
426,6-0511
427,3-9358
428,4-9115
429,2-1679
430,6-4912
431,3-5834
432,3-0221
433,5-4836
434,6-8952
435,3-8856
436,8-5589
437,6-8073
438,6-9883
439,3-7618
440,7-8170
441,7-9561
442,4-5813
443,4-9567
444,4-8642
445,1-8780
446,6-0584
447,5-8402
448,5-7287
449,6-0714
450,1-9748
451,1-5343
452,4-4132
453,5-9940
454,7-7553
455,2-7691
456,6-2474
457,3-5833
458,5-7416
459,3-6351
460,6-8492
461,5-9625
462,3-3619
463,5-9719
464,6-9302
465,7-9364
466,5-6058
467,3-7123
468,5-9518
469,2-0582
470,8-6530
471,6-8938
472,3-4308
473,7-2164
474,8-2165
475,3-9565
476,5-1626
477,1-0246
478,6-2025
479,6-8573
480,3-0166
481,3-9717
482,5-4191
483,4-8351
484,1-4147
485,5-9787
486,6-3788
487,6-7081
488,1-2015
489,3-7487
490,4-8834
491,3-9760
492,4-1452
493,7-3711
494,5-8247
495,3-9296
496,6-7074
497,3-1616
498,2-8251
499,7-9218
500,7-9744
501,5-5127
502,4-1403
503,5-9192
504,8-0287
505,2-8642
506,8-9637
507,1-8610
508,1-1491
509,7-4312
510,5-7746
511,7-5000
512,1-5341
513,7-6092
514,3-2139
515,8-4257
516,3-3418
517,1-5333
518,4-2662
519,2-9933
520,7-8419
521,4-5651
522,3-2494
523,3-6584
524,2-4107
525,6-8463
526,7-6449
527,5-6381
528,7-7683
529,7-8957
530,5-2790
531,3-5547
532,2-5893
533,8-1321
534,7-0547
535,3-0919
536,1-6654
537,6-8728
538,4-8645
539,2-5303
540,4-2224
541,1-5588
542,1-8930
543,8-8186
544,4-0863
545,2-7275
546,4-7579
547,6-3516
548,3-5493
549,7-2682
550,1-2921
551,3-8399
552,8-5811
553,4-0110
554,6-2226
555,1-2787
556,3-3461
557,5-8580
558,2-0150
559,7-8064
560,5-5973
561,8-7624
562,5-4747
563,7-7721
564,7-4448
565,1-3895
566,8-3103
567,1-8384
568,4-8648
569,3-7120
570,4-3259
571,1-2113
572,3-2193
573,2-0159
574,7-8557
575,2-8485
576,7-1592
577,8-3304
578,6-4310
579,6-9503
580,4-6560
581,5-9937
582,7-5830
583,6-8410
584,6-9996
585,2-9993
586,6-8028
587,4-4092
588,1-1993
589,1-4759
590,8-3382
591,5-3754
592,5-0402
593,8-6974
594,1-9830
595,7-5132
596,2-8619
597,8-8915
598,3-3781
599,5-1766
600,3-7572
601,4-3485
602,4-2300
603,1-9373
604,8-0257
605,2-7927
606,4-7060
607,2-5185
608,4-6113
609,5-5306
610,5-8300
611,6-5160
612,1-6445
613,6-3463
614,5-3565
615,7-7266
616,3-2261
617,3-1654
618,3-8666
619,5-3245
620,1-6878
621,1-4555
622,2-3498
623,4-8643
624,4-9678
625,5-7808
626,4-9957
627,7-8886
628,2-4080
629,8-4619
630,1-5935
631,7-8583
632,5-9726
633,4-2907
634,3-1146
635,1-2743
636,6-9974
637,8-9693
638,4-0289
639,1-7293
640,4-9783
641,8-4707
642,3-4680
643,8-9662
644,5-6462
645,4-2316
646,6-5976
647,1-4979
648,3-9331
649,6-1341
650,7-3956
651,3-4192
652,5-6387
653,2-6118
654,4-1543
655,7-6237
656,4-2020
657,1-1845
658,8-3050
659,4-9125
660,6-4047
661,6-6269
662,5-0626
663,7-0993
664,6-4598
665,3-5542
666,2-6151
667,7-4217
668,1-0868
669,4-5986
670,4-6424
671,8-2379
672,8-2994
673,5-4063
674,1-0309
675,5-4931
676,3-6117
677,4-1095
678,3-2912
679,1-4991
680,6-0489
681,6-1785
682,4-2651
683,3-3735
684,2-9705
685,1-4177
686,3-5016
687,3-6176
688,7-1263
689,5-5294
690,6-5793
691,5-0833
692,4-6398
693,2-6309
694,1-0147
695,6-0498
696,8-7673
697,7-0658
698,7-1125
699,5-9503
700,4-8903
701,3-0671
702,2-7428
703,2-6009
704,8-9559
705,5-1382
706,7-9527
707,6-8077
708,1-2036
709,7-0958
710,2-6081
711,4-9283
712,5-1845
713,6-4555
714,2-2590
715,4-1895
716,5-8106
717,5-3945
718,6-0544
719,5-2042
720,7-5337
721,8-3296
722,5-6222
723,1-8437
724,2-9037
725,4-8182
726,4-5985
727,6-4254
728,8-2420
729,1-1478
730,5-0129
731,4-7808
732,1-4588
733,5-3098
734,1-2056
735,2-7799
736,8-0276
737,2-7271
738,7-4555
739,4-4985
740,7-0943
741,3-4950
742,2-7879
743,5-5372
744,4-3439
745,1-7382
746,3-0238
747,8-9216
748,8-7467
749,8-6358
750,8-0902
751,5-3836
752,4-7348
753,2-2533
754,2-3808
755,7-0480
756,7-5557
757,7-7374
758,3-5601
759,5-6527
760,4-9014
761,7-9195
762,2-1338
763,8-3573
764,1-7497
765,2-0845
766,6-5131
767,3-2876
768,8-7412
769,2-1538
770,5-2500
771,8-1840
772,2-1725
773,8-1021
774,8-6131
775,3-0743
776,4-2238
777,4-3874
778,8-2776
779,5-9771
780,1-9538
781,3-9994
782,3-7524
783,4-8302
784,2-0321
785,1-5349
786,7-0448
787,5-5971
788,2-5016
789,1-6385
790,3-3936
791,1-7330
792,4-2770
793,5-6577
794,4-4648
795,4-3296
796,5-2858
797,4-5636
798,3-6633
799,6-5068
800,3-8972
801,2-0118
802,3-2114
803,7-8859
804,2-7608
805,4-8594
806,6-6014
807,2-8535
808,3-0115
809,5-6007
810,7-9461
811,8-3545
812,1-0181
813,6-5550
814,5-0902
815,5-9740
816,6-5313
817,7-2486
818,4-4337
819,8-6914
820,4-3058
821,5-3219
822,3-9130
823,1-8483
824,7-5317
825,8-2429
826,2-2536
827,1-0728
828,8-6637
829,4-3021
830,7-4371
831,6-7612
832,8-6884
833,2-5636
834,7-7032
835,1-2705
836,1-0886
837,8-7567
838,1-0558
839,4-4750
840,6-9990
841,2-6214
842,6-8844
843,6-5873
844,2-0753
845,8-4752
846,7-7605
847,8-6732
848,3-1293
849,1-6901
850,1-4949
851,4-1449
852,7-0129
853,1-3791
854,6-7579
855,6-2192
856,1-5376
857,6-0142
858,3-2883
859,6-9884
860,3-3121
861,3-3553
862,1-7968
863,1-1226
864,3-7531
865,1-3751
866,8-9347
867,2-3092
868,3-9227
869,6-1877
870,2-1502
871,5-1159
872,3-0128
873,8-6731
874,7-6499
875,1-1231
876,8-7765
877,3-5531
878,2-2794
879,8-2685
880,3-0782
881,6-1418
882,7-7180
883,1-3216
884,2-8041
885,7-1612
886,1-4044
887,4-7777
888,2-1912
889,1-5455
890,3-2852
891,2-5033
892,4-4423
893,7-7663
894,3-4131
895,4-0406
896,1-0134
897,1-0376
898,7-8532
899,5-8892
900,8-3749
901,8-7060
902,2-9689
903,5-8254
904,7-4034
905,2-3346
906,6-4592
907,3-2134
908,5-6529
909,4-4168
910,5-1293
911,3-2870
912,4-5614
913,6-2423
914,5-8158
915,8-8354
916,6-0580
917,4-3003
918,8-5532
919,3-6838
920,3-9069
921,3-6577
922,7-8293
923,3-4033
924,6-8424
925,3-6520
926,2-3813
927,3-4355
928,3-3195
929,6-2007
930,5-2430
931,2-8850
932,7-3522
933,7-2875
934,7-2844
935,1-8564
936,6-5606
937,2-5526
938,1-4919
939,6-0527
940,4-4135
941,1-1399
942,4-8568
943,8-6453
944,3-0444
